direction,buffer_no,buffer_id
285,0,1
285,2,2
285,3,3
285,4,4
285,5,5
285,6,6
285,7,7
285,8,8
285,9,9
285,10,10
285,11,11
285,12,12
285,13,13
285,14,14
285,15,15
285,16,16
285,17,17
285,1,18
315,0,19
315,2,20
315,3,21
315,4,22
315,5,23
315,6,24
315,7,25
315,8,26
315,9,27
315,10,28
315,11,29
315,12,30
315,13,31
315,14,32
315,15,33
315,16,34
315,17,35
315,18,36
315,19,37
315,20,38
315,21,39
315,22,40
315,23,41
315,24,42
315,25,43
315,26,44
315,27,45
315,28,46
315,29,47
315,30,48
315,31,49
315,1,50
345,0,51
345,2,52
345,3,53
345,4,54
345,5,55
345,6,56
345,7,57
345,8,58
345,9,59
345,10,60
345,11,61
345,12,62
345,13,63
345,14,64
345,15,65
345,16,66
345,17,67
345,18,68
345,19,69
345,20,70
345,21,71
345,1,72
