buffer_id,lst_mean
1,39.2536
2,38.8929
3,38.2114
4,40.4331
5,40.0731
6,39.4016
7,38.327
8,37.5681
9,36.4224
10,41.2985
11,39.6258
12,38.3935
13,37.9232
14,37.2405
15,36.1439
16,41.1785
17,38.9741
18,37.9231
19,37.8799
20,37.4069
21,36.3734
22,40.5517
23,38.7338
24,37.9128
25,37.8138
26,37.5232
27,35.4273
28,40.714
29,39.0861
30,37.7528
31,37.8522
32,37.9507
33,34.5521
34,40.8108
35,39.3068
36,37.7701
37,37.8142
38,38.1956
39,34.3254
40,40.6026
41,39.1775
42,37.7851
43,37.8019
44,38.3798
46,40.6223
47,38.5904
48,37.8151
49,38.0468
50,38.1683
51,40.7787
52,38.8158
53,37.844
54,38.884
55,37.9245
56,40.6996
57,39.0981
58,37.9431
59,38.7757
60,38.0716
61,40.879
62,39.2645
63,37.6803
64,38.892
65,38.2268
66,41.0247
67,39.3693
68,37.6179
69,38.3874
70,37.8874
71,40.6596
72,39.456
73,38.1125
74,37.5864
75,37.9141
76,41.1776
77,39.5216
78,38.0048
79,38.1849
80,41.3102
81,39.8124
82,38.088
83,37.9132
84,41.0403
85,39.8463
86,37.9089
87,38.2965
88,40.3957
89,39.9935
90,37.7657
91,37.385
92,40.2282
93,40.2709
94,37.6719
95,36.3865
96,40.4609
97,40.1267
98,37.9441
99,40.6549
100,40.3336
101,38.127
102,41.0252
103,40.6454
104,38.1593
105,41.4214
106,40.8175
107,37.8519
108,41.3267
109,40.3994
110,37.5018
111,41.6785
112,40.2618
113,37.2103
114,41.6345
115,40.2963
116,37.0206
117,41.6686
118,40.0019
119,37.0415
120,41.6563
121,39.7547
122,37.1596
123,41.258
124,39.8343
125,37.8335
126,41.3967
127,40.0527
128,38.3458
129,41.7987
130,40.2523
131,38.6079
132,41.7558
133,40.1828
134,38.9184
135,42.3467
136,39.9423
137,39.1357
138,42.9407
139,39.9221
140,39.6544
141,43.474
142,40.2252
143,39.3259
145,40.2478
146,38.9331
148,40.1961
149,39.3858
150,40.0348
151,39.5733
152,40.2314
153,39.3632
154,40.3176
155,38.1102
156,40.5087
157,39.3174
158,40.7142
159,39.5177
160,40.8192
161,41.1783
162,40.4247
164,40.1804
165,40.2439
166,39.9646
167,39.5431
168,39.5149
169,39.2712
170,39.0638
171,39.0912
172,39.0122
173,38.701
174,38.7705
175,39.2401
176,39.4329
177,39.3441
178,39.0865
179,38.8724
180,38.8092
181,38.6237
182,37.6473
183,37.5077
