id,distance_0,direction,mean_lst,distance
5,5,15,21.59018654,1
6,6,15,21.3900362,2
7,7,15,21.60376156,3
8,8,15,21.76682503,4
9,9,15,22.01956988,5
10,10,15,21.64499106,6
11,11,15,21.50239829,7
12,12,15,21.57801121,8
13,13,15,21.52185959,9
14,14,15,21.43437316,10
15,15,15,20.8567552,11
16,16,15,20.50010136,12
17,17,15,20.5781838,13
18,18,15,20.40807532,14
19,19,15,19.9878944,15
20,20,15,19.71349393,16
21,21,15,19.8546318,17
22,22,15,19.66777634,18
23,23,15,19.58849361,19
24,24,15,19.40400078,20
25,25,15,18.53615422,21
26,26,15,18.58565942,22
27,27,15,18.54040562,23
28,28,15,17.71018202,24
29,29,15,17.68917997,25
30,30,15,18.00192646,26
31,31,15,18.35680029,27
32,32,45,18.73682747,28
114,5,75,21.81916842,1
116,6,75,22.00937941,2
118,7,75,22.01526978,3
120,8,75,22.22663857,4
122,9,75,22.35383302,5
124,10,75,22.03576687,6
126,11,75,22.16304557,7
128,12,75,22.24862002,8
130,13,75,22.48650859,9
131,14,75,22.54100844,10
134,15,75,22.19151414,11
136,16,75,21.94747942,12
138,17,75,21.81243014,13
140,18,75,21.54063373,14
142,19,75,21.40783701,15
144,20,75,21.26111219,16
145,21,75,21.15638944,17
148,22,75,20.32146205,18
150,23,75,20.22305352,19
152,24,75,20.82504386,20
181,5,255,22.79187604,1
182,6,255,22.15671196,2
183,7,255,21.78717265,3
184,8,255,21.58171423,4
185,9,255,21.55612936,5
186,10,255,21.89294283,6
187,11,255,21.30802857,7
188,12,255,21.1632109,8
189,13,255,21.0488502,9
190,14,255,21.01314279,10
191,15,255,20.55081943,11
192,16,255,20.30767739,12
193,17,255,20.34412033,13
194,18,255,20.35299786,14
195,19,255,20.57802828,15
196,20,255,21.10313652,16
197,21,255,21.28398975,17
198,22,255,21.11892936,18
199,23,255,20.865024,19
200,24,255,20.46750184,20
201,25,255,20.15198201,21
202,26,255,20.42463561,22
203,27,255,20.32387279,23
204,28,255,19.77782172,24
205,29,255,19.16653121,25
206,30,255,19.59055418,26
207,31,255,19.9754127,27
208,32,255,20.20998525,28
216,5,285,22.21521403,1
217,6,285,21.66992915,2
218,7,285,21.83239809,3
219,8,285,21.83687195,4
220,9,285,21.67159115,5
221,10,285,21.60154999,6
222,11,285,21.37953763,7
223,12,285,21.07900405,8
224,13,285,21.27670967,9
225,14,285,21.06124388,10
226,15,285,20.73555809,11
227,16,285,20.20621598,12
228,17,285,20.49667977,13
229,18,285,20.35390447,14
230,19,285,19.46613041,15
231,20,285,20.14691036,16
232,21,285,20.29434717,17
233,22,285,19.46124406,18
234,23,285,19.21714902,19
235,24,285,19.17798999,20
236,25,285,18.77300301,21
237,26,285,18.73787966,22
238,27,285,18.68552234,23
239,28,285,18.27722518,24
240,29,285,17.54375322,25
241,30,285,17.35291996,26
242,31,285,17.57730939,27
243,32,285,17.15822942,28
244,33,285,17.81208313,29
245,34,285,17.74773512,30
250,5,315,22.37123302,1
251,6,315,22.1444443,2
252,7,315,21.88425009,3
253,8,315,21.97527692,4
254,9,315,21.81646249,5
255,10,315,21.69228519,6
256,11,315,21.77309723,7
257,12,315,21.55712715,8
258,13,315,21.4344024,9
259,14,315,20.56482906,10
260,15,315,20.52802983,11
261,16,315,20.75592182,12
262,17,315,20.46077016,13
263,18,315,20.46309145,14
264,19,315,20.36196877,15
265,20,315,19.94852432,16
266,21,315,19.91414721,17
267,22,315,19.7195759,18
268,23,315,19.30394571,19
269,24,315,19.06011583,20
270,25,315,18.65915486,21
271,26,315,18.46231399,22
272,27,315,18.35882761,23
273,28,315,18.66260544,24
274,29,315,18.55517581,25
275,30,315,18.31870976,26
276,31,315,18.42260156,27
277,32,315,18.48755993,28
278,33,315,18.60764073,29
279,34,315,18.71895879,30
280,35,315,18.92820169,31
285,5,345,22.14378256,1
286,6,345,22.04748478,2
287,7,345,22.13577997,3
288,8,345,22.13233679,4
289,9,345,22.11964202,5
290,10,345,22.03897677,6
291,11,345,21.72352436,7
292,12,345,21.60248301,8
293,13,345,21.58756049,9
294,14,345,21.31221368,10
295,15,345,20.81844233,11
296,16,345,20.73963067,12
297,17,345,20.56822487,13
298,18,345,20.01720694,14
299,19,345,20.34099633,15
300,20,345,20.04086307,16
301,21,345,19.78742342,17
302,22,345,19.33079728,18
303,23,345,18.76139317,19
304,24,345,18.77472627,20
305,25,345,19.15949718,21
306,26,345,18.74783613,22
307,27,345,18.32117996,23
308,28,345,18.00706531,24
309,29,345,17.5471275,25
310,30,345,17.40965947,26
311,31,345,17.15968953,27
312,32,345,17.10004395,28
313,33,345,17.33607994,29
321,5,45,22.0220972,1
322,6,45,21.89440535,2
323,7,45,21.73005728,3
324,8,45,22.18531985,4
325,9,45,22.12097559,5
326,10,45,21.45658876,6
327,11,45,21.89213452,7
328,12,45,22.26697102,8
329,13,45,21.53480932,9
330,14,45,22.05676548,10
331,15,45,21.81069752,11
332,16,45,21.85257118,12
333,17,45,22.08309286,13
334,18,45,21.66384374,14
335,19,45,21.52433374,15
336,20,45,21.32838533,16
337,21,45,21.05509871,17
338,22,45,21.08588448,18
339,23,45,20.65478145,19
340,24,45,20.36357069,20
341,25,45,19.99542352,21
342,26,45,19.55730121,22
343,27,45,19.31470432,23
344,28,45,19.69361366,24
345,29,45,19.23846324,25
346,30,45,19.18686553,26
347,31,45,18.85838641,27
348,32,15,19.46614926,28
349,33,45,18.66893081,29
350,34,45,18.30550908,30
351,35,45,17.68783175,31
1000,5,15,23.0708,0
1001,5,75,23.0708,0
