direction,distance,buffer_no,buffer_id,area
315,0,0,200,101126700
195,0,0,201,37900800
165,0,0,202,38161800
135,0,0,203,76020300
225,0,0,204,75967200
105,0,0,205,130953600
75,0,0,206,131498100
255,0,0,207,176418900
345,0,0,208,128345400
15,0,0,209,179854200
285,0,0,210,120550500
45,0,0,211,157391100
315,6.5,13,1,762.7866129
315,7,14,2,811.605721
315,8,16,3,807.4331699
315,8.5,17,4,776.9492624
315,9,18,5,780.087086
315,9.5,19,6,710.6488003
315,10,20,7,636.1589915
315,10.5,21,8,533.1440435
315,11,22,9,496.0299566
315,11.5,23,10,480.7184484
315,12,24,11,452.0929263
315,12.5,25,12,436.1200113
315,13,26,13,377.9861556
315,13.5,27,14,298.5944787
315,14,28,15,212.3362823
315,14.5,29,16,148.0333322
315,15,30,17,86.45583732
315,15.5,31,18,37.30192714
315,16,32,19,1.100140396
315,0.5,1,20,807.4333046
315,1,2,21,784.0277535
315,1.5,3,22,852.3578897
315,2,4,23,908.0955606
315,2.5,5,24,946.2438644
315,3,6,25,900.0440983
315,3.5,7,26,836.4415556
315,4,8,27,807.7598491
315,4.5,9,28,844.6821843
315,5,10,29,783.1208493
315,5.5,11,30,739.0985897
315,6,12,31,754.0542318
315,7.5,15,32,828.6102475
255,0.5,1,34,40.1036744
255,0.5,1,35,389.5321224
255,1,2,36,6.266325337
255,1,2,37,455.8935637
255,1.5,3,38,495.3415942
255,2,4,39,333.8024526
255,2.5,5,40,200.230673
255,3,6,41,0.003067895
255,3,6,42,112.9722624
255,3.5,7,43,30.6610504
345,6.5,13,44,363.7477615
345,7,14,45,336.5890691
345,8,16,46,261.1161504
345,8.5,17,47,223.8563987
345,9,18,48,195.7468067
345,9.5,19,49,158.379809
345,10,20,50,118.8262013
345,10.5,21,51,101.288236
345,11,22,52,64.6333891
345,11.5,23,53,11.32509032
345,0.5,1,54,675.3963251
345,1,2,55,513.5424083
345,1,2,56,7.126624197
345,1.5,3,57,623.4879662
345,2,4,58,583.5462165
345,2.5,5,59,551.8518
345,3,6,60,511.4486283
345,3.5,7,61,471.7684142
345,4,8,62,435.5278374
345,4.5,9,63,453.4975243
345,5,10,64,427.713446
345,5.5,11,65,405.4790184
345,6,12,66,377.1749559
345,7.5,15,67,294.8511617
15,0.5,1,68,1524.883835
15,1,2,69,1.127845063
15,1,2,70,1024.017049
15,1.5,3,71,575.8272027
15,2,4,72,461.5437119
15,2.5,5,73,251.5373459
15,3,6,74,179.2715989
15,3.5,7,75,41.24637113
285,6.5,13,76,531.4108472
285,7,14,77,465.9906108
285,8,16,78,172.9688965
285,8.5,17,79,136.6035102
285,9,18,80,68.71689718
285,9.5,19,81,6.56E-06
285,0.5,1,82,6.16
285,0.5,1,83,17.43
285,0.5,1,84,757.3552472
285,1,2,85,639.7795911
285,1.5,3,86,600.3623922
285,2,4,87,670.8609672
285,2.5,5,88,728.4244552
285,3,6,89,704.9113111
285,3.5,7,90,644.903578
285,4,8,91,670.8225334
285,4.5,9,92,643.6824029
285,5,10,93,627.308567
285,5.5,11,94,637.14438
285,6,12,95,599.0735377
285,7.5,15,96,1.129710323
285,7.5,15,97,210.5276638
45,0.5,1,98,3.68
45,0.5,1,99,2037.088711
45,1,2,100,160.3353434
45,1,2,101,1351.372692
45,1.5,3,102,30.41351042
45,1.5,3,103,81.11333025
45,1.5,3,104,885.3143733
45,2,4,105,807.0244802
45,2.5,5,106,720.5516665
45,3,6,107,1.488637071
45,3,6,108,477.7071326
45,3.5,7,109,411.8067963
45,4,8,110,352.028013
45,4.5,9,111,223.6255327
45,5,10,112,12.89651687
