buffer_id,buffer_no,direction,lst_mean
1,0,285,40.43314223
2,2,285,40.64052338
3,3,285,40.7051702
4,4,285,40.69982377
5,5,285,40.78497143
6,6,285,40.84820945
7,7,285,41.24444209
8,8,285,40.71711291
9,9,285,40.34518728
10,10,285,40.83772442
11,11,285,41.37482462
12,12,285,41.65759552
13,13,285,41.66243814
14,14,285,41.31339278
15,15,285,41.77871539
16,16,285,42.58629155
17,17,285,43.47403734
18,1,285,41.24876083
19,0,315,40.07305637
20,2,315,38.90544869
21,3,315,39.24252179
22,4,315,38.70183699
23,5,315,39.17938706
24,6,315,39.41223499
25,7,315,39.6669755
26,8,315,39.91932766
27,9,315,40.19902909
28,10,315,40.48976037
29,11,315,40.60919228
30,12,315,40.27879839
31,13,315,39.8776194
32,14,315,39.94405278
33,15,315,40.21740881
34,16,315,39.93205207
35,17,315,40.23652768
36,18,315,40.11933389
37,19,315,40.27303814
38,20,315,40.60882607
39,21,315,40.62967363
40,22,315,40.21009002
41,23,315,39.75925553
42,24,315,39.38886655
43,25,315,39.07741596
44,26,315,38.86601459
45,27,315,38.9916918
46,28,315,39.39226658
47,29,315,38.99036926
48,30,315,38.73025444
49,31,315,37.60159869
50,1,315,39.33967453
51,0,345,39.39278688
52,2,345,37.83456744
53,3,345,37.77737442
54,4,345,37.82882701
55,5,345,37.81275963
56,6,345,37.86203782
57,7,345,38.04567982
58,8,345,37.83893878
59,9,345,37.80584971
60,10,345,38.14286194
61,11,345,37.68094998
62,12,345,37.11704159
63,13,345,37.09897678
64,14,345,38.08251718
65,15,345,38.76052409
66,16,345,39.38569344
67,17,345,39.14023361
68,18,345,39.46920964
69,19,345,38.76506965
70,20,345,39.39653775
71,21,345,41.17833086
72,1,345,38.19403047
