buffer_id,buffer_no,direction,lst_mean
1,0,285,16.2452
2,2,285,15.4657
3,3,285,15.5092
4,4,285,15.7256
5,5,285,15.5961
6,6,285,15.6098
7,7,285,15.692
8,8,285,15.8415
9,9,285,15.6679
10,10,285,15.616
11,11,285,15.6286
12,12,285,15.7003
13,13,285,15.8513
14,14,285,16.2113
15,15,285,16.3583
16,16,285,16.3603
17,17,285,15.4921
18,1,285,15.7439
19,0,315,16.3691
20,2,315,14.958
21,3,315,15.0651
22,4,315,14.7576
23,5,315,14.9972
24,6,315,15.0364
25,7,315,14.9527
26,8,315,14.9611
27,9,315,14.8213
28,10,315,14.7008
29,11,315,14.6246
30,12,315,14.8926
31,13,315,14.9341
32,14,315,14.5946
33,15,315,14.5387
34,16,315,14.6936
35,17,315,14.862
36,18,315,15.1265
37,19,315,14.9496
38,20,315,14.641
39,21,315,14.7639
40,22,315,14.6092
41,23,315,14.7559
42,24,315,14.8462
43,25,315,14.4679
44,26,315,13.7207
45,27,315,13.4808
46,28,315,14.1222
47,29,315,14.1308
48,30,315,13.0458
49,31,315,12.1235
50,1,315,15.493
51,0,345,15.9834
52,2,345,14.5678
53,3,345,14.5372
54,4,345,14.5998
55,5,345,14.7106
56,6,345,14.4504
57,7,345,14.442
58,8,345,14.4862
59,9,345,14.4916
60,10,345,14.3739
61,11,345,14.2615
62,12,345,14.3864
63,13,345,14.1018
64,14,345,14.7705
65,15,345,14.6706
66,16,345,14.575
67,17,345,14.1752
68,18,345,13.9019
69,19,345,13.7675
70,20,345,14.2655
71,21,345,15.4268
72,1,345,14.8519
